data downloaded april 25, from https://delphi.cmu.edu/covidcast/indicator/?date=20210419&sensor=fb-survey-smoothed_hh_cmnty_cli and https://delphi.cmu.edu/covidcast/; download from menu covidcast -> explore an indicator; this file is the indicator COVID-Like Symptoms (the value column... and is per 100 individuals ),,,,,,,,
geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
dc,smoothed_cli,3/28/2021,4/2/2021,5,0.9821429,0.4341265,420,state,fb-survey
de,smoothed_cli,3/28/2021,4/2/2021,5,0.4889456,0.1832376,1064,state,fb-survey
fl,smoothed_cli,3/28/2021,4/2/2021,5,0.5953436,0.0520691,17142.998,state,fb-survey
ga,smoothed_cli,3/28/2021,4/2/2021,5,0.760241,0.1002641,6073.9464,state,fb-survey
hi,smoothed_cli,3/28/2021,4/2/2021,5,0.3572599,0.1624414,1017,state,fb-survey
ia,smoothed_cli,3/28/2021,4/2/2021,5,0.8192169,0.137299,3609.4616,state,fb-survey
id,smoothed_cli,3/28/2021,4/2/2021,5,0.8408439,0.1841745,1898.8416,state,fb-survey
il,smoothed_cli,3/28/2021,4/2/2021,5,0.6281866,0.0701573,10588.0004,state,fb-survey
in,smoothed_cli,3/28/2021,4/2/2021,5,0.7766463,0.1035878,5615.0065,state,fb-survey
ks,smoothed_cli,3/28/2021,4/2/2021,5,0.5348698,0.1279097,2864.9175,state,fb-survey
ky,smoothed_cli,3/28/2021,4/2/2021,5,0.884015,0.1408488,3761.2501,state,fb-survey
la,smoothed_cli,3/28/2021,4/2/2021,5,0.8955821,0.1443122,3411.3686,state,fb-survey
ma,smoothed_cli,3/28/2021,4/2/2021,5,0.5610583,0.0992264,4688.0105,state,fb-survey
md,smoothed_cli,3/28/2021,4/2/2021,5,0.3899154,0.0861634,4091.9984,state,fb-survey
me,smoothed_cli,3/28/2021,4/2/2021,5,0.7915546,0.1792459,1851.2234,state,fb-survey
mi,smoothed_cli,3/28/2021,4/2/2021,5,0.952963,0.0820254,11630.0182,state,fb-survey
mn,smoothed_cli,3/28/2021,4/2/2021,5,0.5582813,0.1023423,4321.5605,state,fb-survey
mo,smoothed_cli,3/28/2021,4/2/2021,5,0.5863261,0.0960782,4681.6437,state,fb-survey
ms,smoothed_cli,3/28/2021,4/2/2021,5,0.7264298,0.1699458,2191.0046,state,fb-survey
mt,smoothed_cli,3/28/2021,4/2/2021,5,0.5649276,0.1927083,1370.3967,state,fb-survey
nc,smoothed_cli,3/28/2021,4/2/2021,5,0.5336324,0.0730553,8150.0087,state,fb-survey
nd,smoothed_cli,3/28/2021,4/2/2021,5,1.2749958,0.3955229,706.7119,state,fb-survey
ne,smoothed_cli,3/28/2021,4/2/2021,5,0.9224767,0.2094767,1858.0361,state,fb-survey
nh,smoothed_cli,3/28/2021,4/2/2021,5,0.6834701,0.1876566,1633.7766,state,fb-survey
nj,smoothed_cli,3/28/2021,4/2/2021,5,0.7215491,0.0975718,6143.9976,state,fb-survey
nm,smoothed_cli,3/28/2021,4/2/2021,5,0.4907195,0.1182355,2780.2747,state,fb-survey
nv,smoothed_cli,3/28/2021,4/2/2021,5,0.3873614,0.1305674,1936.1333,state,fb-survey
ny,smoothed_cli,3/28/2021,4/2/2021,5,0.6794289,0.0652317,12623.9999,state,fb-survey
oh,smoothed_cli,3/28/2021,4/2/2021,5,0.7575659,0.0806958,9882.0009,state,fb-survey
ok,smoothed_cli,3/28/2021,4/2/2021,5,0.7515919,0.1321058,3391.7413,state,fb-survey
or,smoothed_cli,3/28/2021,4/2/2021,5,0.3047236,0.0760111,3915.0914,state,fb-survey
pa,smoothed_cli,3/28/2021,4/2/2021,5,0.8989426,0.0804667,11216.0051,state,fb-survey
